iter,avg_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,class_weight,bootstrap
25,0.67473561460188,300,20,20,0.5,0.7,,balanced_subsample,True
22,0.6630719870124444,200,20,10,0.5,0.7,10.0,balanced_subsample,True
32,0.662597193388085,200,10,5,0.9,0.5,18.0,balanced_subsample,True
8,0.662126523582193,200,20,10,1.0,0.7,14.0,balanced_subsample,True
39,0.661383677655855,300,20,10,1.0,0.7,,balanced_subsample,True
3,0.6593630211091107,100,10,20,0.5,0.7,18.0,balanced_subsample,True
18,0.6576726686585144,100,10,20,0.5,0.7,14.0,balanced_subsample,True
35,0.655560491122547,200,20,20,1.0,0.7,14.0,balanced_subsample,True
1,0.6531282244771777,100,5,5,0.7,0.7,18.0,balanced_subsample,True
37,0.6516532582118358,300,5,20,0.7,0.7,14.0,balanced_subsample,True
26,0.6510457840108792,300,5,20,0.9,0.5,14.0,balanced_subsample,True
28,0.650014922271513,300,20,5,0.7,0.5,,balanced_subsample,True
31,0.6441440854878047,200,5,5,0.5,0.7,10.0,balanced_subsample,True
10,0.6429837366001142,100,20,20,1.0,0.7,18.0,balanced_subsample,True
29,0.6410517885280999,200,20,10,0.5,0.3,14.0,balanced_subsample,True
12,0.6403783440011152,200,10,10,0.9,0.5,18.0,balanced_subsample,True
4,0.6399361588124924,100,20,5,0.7,0.5,10.0,balanced_subsample,True
7,0.6394874352961512,200,20,20,0.7,0.7,14.0,balanced_subsample,True
19,0.6316769259071581,100,5,10,0.5,0.3,18.0,balanced_subsample,True
16,0.630689824840508,100,5,5,0.7,0.3,,balanced_subsample,True
34,0.6287768997908795,200,10,20,0.9,0.3,,balanced_subsample,True
20,0.6283993268506731,300,10,20,1.0,0.3,18.0,balanced_subsample,True
14,0.6283253240644101,100,10,5,1.0,0.5,10.0,balanced_subsample,True
38,0.6272747252459868,100,20,20,0.9,0.5,18.0,balanced_subsample,True
24,0.61955674334473,200,10,5,1.0,0.3,10.0,balanced_subsample,True
33,0.6177616360300644,100,10,5,0.5,0.3,,balanced_subsample,True
5,0.6176174417276501,300,10,5,0.7,0.7,6.0,balanced_subsample,True
2,0.6147671675110682,300,5,20,0.5,0.5,6.0,balanced_subsample,True
11,0.6147671675110682,300,20,20,0.5,0.5,6.0,balanced_subsample,True
23,0.605360640012805,100,20,20,0.7,0.3,14.0,balanced_subsample,True
17,0.6025945524994922,300,5,5,0.7,sqrt,,balanced_subsample,True
27,0.5990946230618014,200,5,5,0.7,0.3,10.0,balanced_subsample,True
6,0.5934419426445895,200,20,20,0.7,sqrt,18.0,balanced_subsample,True
36,0.5828646322056656,200,5,20,0.5,sqrt,18.0,balanced_subsample,True
15,0.5807792099075119,100,5,5,0.7,0.3,6.0,balanced_subsample,True
13,0.5741578390346481,100,20,10,1.0,sqrt,,balanced_subsample,True
21,0.5688258868907513,100,5,5,1.0,0.3,6.0,balanced_subsample,True
30,0.5177986292068538,300,5,20,1.0,sqrt,10.0,balanced_subsample,True
9,0.47141491896160964,300,20,5,0.9,sqrt,10.0,balanced_subsample,True
40,0.3229935709785814,200,10,20,0.9,sqrt,6.0,balanced_subsample,True
